Freq,Trace1,Trace2,Trace3,Trace4
1000000000,-28.0667878542737,0,0,0
1017500000,-30.5573710455676,0,0,0
1035000000,-28.4050649505275,0,0,0
1052500000,-30.3701616333058,0,0,0
1070000000,-29.458741001049,0,0,0
1087500000,-30.677816701174,0,0,0
1105000000,-28.5952884086345,0,0,0
1122500000,-27.7215616284754,0,0,0
1140000000,-30.557004226721,0,0,0
1157500000,-28.9378177948946,0,0,0
1175000000,-29.3367737265818,0,0,0
1192500000,-27.9890917187046,0,0,0
1210000000,-27.8478859340045,0,0,0
1227500000,-30.3961636424238,0,0,0
1245000000,-27.1681905720896,0,0,0
1262500000,-27.7837124272575,0,0,0
1280000000,-28.9036712542421,0,0,0
1297500000,-27.7781935680642,0,0,0
1315000000,-29.4497651497548,0,0,0
1332500000,-28.4813124672478,0,0,0
1350000000,-27.0749148330123,0,0,0
1367500000,-30.0100682180798,0,0,0
1385000000,-27.5878835095829,0,0,0
1402500000,-28.3056081085694,0,0,0
1420000000,-30.314862167276,0,0,0
1437500000,-27.3704342000998,0,0,0
1455000000,-27.5820775584309,0,0,0
1472500000,-30.93947157719,0,0,0
1490000000,-28.7797755097164,0,0,0
1507500000,-29.0205679714514,0,0,0
1525000000,-30.4228038392731,0,0,0
1542500000,-28.3583576874339,0,0,0
1560000000,-28.9407161680832,0,0,0
1577500000,-32.774910765164,0,0,0
1595000000,-30.809317035157,0,0,0
1612500000,-29.1155437895021,0,0,0
1630000000,-30.3395070475239,0,0,0
1647500000,-29.7557087305271,0,0,0
1665000000,-28.9101772913945,0,0,0
1682500000,-30.3450873388708,0,0,0
1700000000,-31.9651555173273,0,0,0
1717500000,-29.467647390328,0,0,0
1735000000,-29.0028529393777,0,0,0
1752500000,-30.2042315621521,0,0,0
1770000000,-28.7710683887086,0,0,0
1787500000,-28.5339819486839,0,0,0
1805000000,-28.9739027826605,0,0,0
1822500000,-30.1076236324814,0,0,0
1840000000,-29.4032232522243,0,0,0
1857500000,-28.7443962736987,0,0,0
1875000000,-28.5253885540212,0,0,0
1892500000,-29.542133526466,0,0,0
1910000000,-28.8708973895094,0,0,0
1927500000,-29.2080212159157,0,0,0
1945000000,-30.8560755006649,0,0,0
1962500000,-30.737835317115,0,0,0
1980000000,-29.7673183529496,0,0,0
1997500000,-29.6865221997441,0,0,0
2015000000,-30.1598165802099,0,0,0
2032500000,-30.41192252957,0,0,0
2050000000,-30.6362760449157,0,0,0
2067500000,-31.1090204879288,0,0,0
2085000000,-30.7730814869458,0,0,0
2102500000,-30.6995188192251,0,0,0
2120000000,-30.5004811183511,0,0,0
2137500000,-30.0059792716438,0,0,0
2155000000,-29.8092231645763,0,0,0
2172500000,-31.2222828861082,0,0,0
2190000000,-31.8978613662473,0,0,0
2207500000,-31.8697356647192,0,0,0
2225000000,-31.8213418101983,0,0,0
2242500000,-31.252553040611,0,0,0
2260000000,-31.4868290497892,0,0,0
2277500000,-30.9773057091212,0,0,0
2295000000,-31.4003814250456,0,0,0
2312500000,-31.2171702094812,0,0,0
2330000000,-31.9021523860564,0,0,0
2347500000,-32.1738132493224,0,0,0
2365000000,-31.8522928127339,0,0,0
2382500000,-30.7381177879418,0,0,0
2400000000,-30.101335807079,0,0,0
2417500000,-30.5564003954814,0,0,0
2435000000,-31.1156388638318,0,0,0
2452500000,-30.7506309734826,0,0,0
2470000000,-30.9395621591519,0,0,0
2487500000,-31.5640691594013,0,0,0
2505000000,-32.1645891409322,0,0,0
2522500000,-31.9639431011334,0,0,0
2540000000,-31.644298524608,0,0,0
2557500000,-31.6618487533097,0,0,0
2575000000,-31.9329582197756,0,0,0
2592500000,-32.1096669178337,0,0,0
2610000000,-32.266806471068,0,0,0
2627500000,-31.7249075407345,0,0,0
2645000000,-31.8810863183165,0,0,0
2662500000,-32.2011391938854,0,0,0
2680000000,-33.334065009099,0,0,0
2697500000,-33.6118827000691,0,0,0
2715000000,-32.8423371496297,0,0,0
2732500000,-32.530607025713,0,0,0
2750000000,-31.7454380880849,0,0,0
2767500000,-32.0400049874983,0,0,0
2785000000,-32.7482697649176,0,0,0
2802500000,-33.0825778660113,0,0,0
2820000000,-33.6939294309809,0,0,0
2837500000,-33.5910275077589,0,0,0
2855000000,-32.9543145866408,0,0,0
2872500000,-32.7139306006747,0,0,0
2890000000,-32.1967767488917,0,0,0
2907500000,-31.799798533341,0,0,0
2925000000,-31.6375204930986,0,0,0
2942500000,-31.5528781282644,0,0,0
2960000000,-31.9197081904648,0,0,0
2977500000,-32.3633450727838,0,0,0
2995000000,-32.4423414063458,0,0,0
3012500000,-32.1715717276767,0,0,0
3030000000,-31.7468902092081,0,0,0
3047500000,-31.8523691153925,0,0,0
3065000000,-32.0714151062414,0,0,0
3082500000,-32.9438905206566,0,0,0
3100000000,-33.4835658546931,0,0,0
3117500000,-34.1093305968858,0,0,0
3135000000,-34.1499696701435,0,0,0
3152500000,-34.1748750525661,0,0,0
3170000000,-34.1238774504693,0,0,0
3187500000,-34.1343734677386,0,0,0
3205000000,-34.0357302341006,0,0,0
3222500000,-33.7013354124532,0,0,0
3240000000,-32.9973932214448,0,0,0
3257500000,-32.8279917997544,0,0,0
3275000000,-32.905632557403,0,0,0
3292500000,-33.6507317568556,0,0,0
3310000000,-34.2935152345658,0,0,0
3327500000,-34.2653371893095,0,0,0
3345000000,-33.789185559224,0,0,0
3362500000,-33.4339458464589,0,0,0
3380000000,-33.4765306888616,0,0,0
3397500000,-33.4064179318215,0,0,0
3415000000,-33.1058625429488,0,0,0
3432500000,-33.40186943929,0,0,0
3450000000,-33.6595337540582,0,0,0
3467500000,-33.591511931421,0,0,0
3485000000,-32.8813957048426,0,0,0
3502500000,-32.3626646584845,0,0,0
3520000000,-32.8116521767628,0,0,0
3537500000,-32.9639387757317,0,0,0
3555000000,-33.9193086874475,0,0,0
3572500000,-34.4047974900199,0,0,0
3590000000,-34.2820390468435,0,0,0
3607500000,-34.3397527400811,0,0,0
3625000000,-33.7708005176344,0,0,0
3642500000,-33.8427429702277,0,0,0
3660000000,-33.9134153867535,0,0,0
3677500000,-33.971140866865,0,0,0
3695000000,-34.4089303995087,0,0,0
3712500000,-33.7607891587781,0,0,0
3730000000,-34.0027461130619,0,0,0
3747500000,-33.9834276221769,0,0,0
3765000000,-34.6778538334759,0,0,0
3782500000,-34.9484621665109,0,0,0
3800000000,-35.7463404770987,0,0,0
3817500000,-35.6156322158179,0,0,0
3835000000,-35.2956545781894,0,0,0
3852500000,-34.9003975923245,0,0,0
3870000000,-34.3615943902887,0,0,0
3887500000,-34.2569177063462,0,0,0
3905000000,-34.2744739899135,0,0,0
3922500000,-34.6956751994757,0,0,0
3940000000,-34.823886831318,0,0,0
3957500000,-34.4176373481569,0,0,0
3975000000,-34.2460724986913,0,0,0
3992500000,-34.1718403265863,0,0,0
4010000000,-34.2308760603826,0,0,0
4027500000,-34.265944236427,0,0,0
4045000000,-34.5806379541594,0,0,0
4062500000,-34.6903896157339,0,0,0
4080000000,-34.5674130245937,0,0,0
4097500000,-34.1643874573167,0,0,0
4115000000,-34.6804364366781,0,0,0
4132500000,-34.7747827017229,0,0,0
4150000000,-34.6295257401304,0,0,0
4167500000,-35.2300917266625,0,0,0
4185000000,-35.6245698308568,0,0,0
4202500000,-35.9044652162194,0,0,0
4220000000,-35.6798763396187,0,0,0
4237500000,-35.4647167458298,0,0,0
4255000000,-35.4237190332053,0,0,0
4272500000,-35.1516071374073,0,0,0
4290000000,-35.7562406542832,0,0,0
4307500000,-36.1271165680022,0,0,0
4325000000,-36.7176045938168,0,0,0
4342500000,-36.6706853620107,0,0,0
4360000000,-35.9714451649644,0,0,0
4377500000,-36.0641686348138,0,0,0
4395000000,-36.1299550974729,0,0,0
4412500000,-36.2603906190853,0,0,0
4430000000,-36.4585172134163,0,0,0
4447500000,-36.8211049721157,0,0,0
4465000000,-36.5125607525801,0,0,0
4482500000,-36.4538324126284,0,0,0
4500000000,-36.1071006257732,0,0,0
4517500000,-35.7503230669016,0,0,0
4535000000,-35.6170509678623,0,0,0
4552500000,-35.6713560246525,0,0,0
4570000000,-36.1848997204219,0,0,0
4587500000,-36.2903049447587,0,0,0
4605000000,-36.6618390421557,0,0,0
4622500000,-36.2441429213348,0,0,0
4640000000,-35.8611599600581,0,0,0
4657500000,-35.6968578475942,0,0,0
4675000000,-35.8851093139722,0,0,0
4692500000,-36.416803756821,0,0,0
4710000000,-36.7693394179655,0,0,0
4727500000,-37.0739797582087,0,0,0
4745000000,-37.0006811415589,0,0,0
4762500000,-36.9271777669183,0,0,0
4780000000,-36.7539623313238,0,0,0
4797500000,-36.6023979045561,0,0,0
4815000000,-36.853570906328,0,0,0
4832500000,-37.0172159510482,0,0,0
4850000000,-37.5378869184782,0,0,0
4867500000,-37.7270565548287,0,0,0
4885000000,-37.7481629869316,0,0,0
4902500000,-37.7576257704206,0,0,0
4920000000,-37.34511665188,0,0,0
4937500000,-36.8077604466042,0,0,0
4955000000,-36.7404481044671,0,0,0
4972500000,-37.2132450690311,0,0,0
4990000000,-37.4613327065141,0,0,0
5007500000,-37.3666845712888,0,0,0
5025000000,-38.2876438208161,0,0,0
5042500000,-38.1767997911559,0,0,0
5060000000,-38.1852835962063,0,0,0
5077500000,-37.8751885211025,0,0,0
5095000000,-37.5946946209923,0,0,0
5112500000,-37.0209574764615,0,0,0
5130000000,-37.4462682387745,0,0,0
5147500000,-37.4441040014874,0,0,0
5165000000,-37.2972037919345,0,0,0
5182500000,-37.7950998365877,0,0,0
5200000000,-37.8878665548393,0,0,0
5217500000,-37.9831630004769,0,0,0
5235000000,-37.4145390869104,0,0,0
5252500000,-37.5186633175773,0,0,0
5270000000,-37.3371722329352,0,0,0
5287500000,-37.7341657584659,0,0,0
5305000000,-37.9372128020169,0,0,0
5322500000,-37.7703471895414,0,0,0
5340000000,-38.2010313597262,0,0,0
5357500000,-37.9717149363712,0,0,0
5375000000,-37.882767268929,0,0,0
5392500000,-37.5490350562693,0,0,0
5410000000,-37.4127237583567,0,0,0
5427500000,-37.5503953354014,0,0,0
